Geography,Geographic Area Name,Estimate!!Total!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade,
37001,"Alamance County, North Carolina",27404,0.891,89.1
37003,"Alexander County, North Carolina",5765,0.874,87.4
37005,"Alleghany County, North Carolina",1476,0.946,94.6
37007,"Anson County, North Carolina",3755,0.91,91
37009,"Ashe County, North Carolina",3504,0.875,87.5
37011,"Avery County, North Carolina",1968,0.829,82.9
37013,"Beaufort County, North Carolina",7067,0.949,94.9
37015,"Bertie County, North Carolina",2578,0.853,85.3
37017,"Bladen County, North Carolina",5199,0.901,90.1
37019,"Brunswick County, North Carolina",15379,0.888,88.8
37021,"Buncombe County, North Carolina",34728,0.858,85.8
37023,"Burke County, North Carolina",12479,0.937,93.7
37025,"Cabarrus County, North Carolina",40258,0.93,93
37027,"Caldwell County, North Carolina",12682,0.914,91.4
37029,"Camden County, North Carolina",1927,0.964,96.4
37031,"Carteret County, North Carolina",9365,0.905,90.5
37033,"Caswell County, North Carolina",3230,0.834,83.4
37035,"Catawba County, North Carolina",25751,0.903,90.3
37037,"Chatham County, North Carolina",11213,0.853,85.3
37039,"Cherokee County, North Carolina",3454,0.888,88.8
37041,"Chowan County, North Carolina",2183,0.929,92.9
37043,"Clay County, North Carolina",1243,0.982,98.2
37045,"Cleveland County, North Carolina",15859,0.952,95.2
37047,"Columbus County, North Carolina",8413,0.943,94.3
37049,"Craven County, North Carolina",15465,0.876,87.6
37051,"Cumberland County, North Carolina",57142,0.886,88.6
37053,"Currituck County, North Carolina",4550,0.903,90.3
37055,"Dare County, North Carolina",5151,0.948,94.8
37057,"Davidson County, North Carolina",27834,0.862,86.2
37059,"Davie County, North Carolina",7017,0.887,88.7
37061,"Duplin County, North Carolina",10305,0.956,95.6
37063,"Durham County, North Carolina",45537,0.884,88.4
37065,"Edgecombe County, North Carolina",8463,0.957,95.7
37067,"Forsyth County, North Carolina",64217,0.911,91.1
37069,"Franklin County, North Carolina",11153,0.859,85.9
37071,"Gaston County, North Carolina",36668,0.887,88.7
37073,"Gates County, North Carolina",1941,0.916,91.6
37075,"Graham County, North Carolina",1379,0.991,99.1
37077,"Granville County, North Carolina",9666,0.94,94
37079,"Greene County, North Carolina",3301,0.949,94.9
37081,"Guilford County, North Carolina",86471,0.884,88.4
37083,"Halifax County, North Carolina",7870,0.878,87.8
37085,"Harnett County, North Carolina",24758,0.871,87.1
37087,"Haywood County, North Carolina",7923,0.916,91.6
37089,"Henderson County, North Carolina",16499,0.836,83.6
37091,"Hertford County, North Carolina",3537,0.846,84.6
37093,"Hoke County, North Carolina",10269,0.906,90.6
37095,"Hyde County, North Carolina",726,0.905,90.5
37097,"Iredell County, North Carolina",30941,0.898,89.8
37099,"Jackson County, North Carolina",5264,0.89,89
37101,"Johnston County, North Carolina",38312,0.931,93.1
37103,"Jones County, North Carolina",1201,0.813,81.3
37105,"Lee County, North Carolina",10985,0.896,89.6
37107,"Lenoir County, North Carolina",9639,0.862,86.2
37109,"Lincoln County, North Carolina",13537,0.912,91.2
37111,"McDowell County, North Carolina",7007,0.894,89.4
37113,"Macon County, North Carolina",4653,0.897,89.7
37115,"Madison County, North Carolina",2838,0.812,81.2
37117,"Martin County, North Carolina",3563,0.896,89.6
37119,"Mecklenburg County, North Carolina",181339,0.879,87.9
37121,"Mitchell County, North Carolina",2042,0.839,83.9
37123,"Montgomery County, North Carolina",4327,0.932,93.2
37125,"Moore County, North Carolina",15043,0.849,84.9
37127,"Nash County, North Carolina",15422,0.887,88.7
37129,"New Hanover County, North Carolina",30627,0.835,83.5
37131,"Northampton County, North Carolina",2619,0.869,86.9
37133,"Onslow County, North Carolina",29475,0.91,91
37135,"Orange County, North Carolina",22312,0.878,87.8
37137,"Pamlico County, North Carolina",1419,0.965,96.5
37139,"Pasquotank County, North Carolina",6342,0.879,87.9
37141,"Pender County, North Carolina",10502,0.884,88.4
37143,"Perquimans County, North Carolina",1862,0.894,89.4
37145,"Person County, North Carolina",6439,0.893,89.3
37147,"Pitt County, North Carolina",27499,0.892,89.2
37149,"Polk County, North Carolina",2668,0.899,89.9
37151,"Randolph County, North Carolina",24133,0.879,87.9
37153,"Richmond County, North Carolina",7551,0.931,93.1
37155,"Robeson County, North Carolina",24430,0.959,95.9
37157,"Rockingham County, North Carolina",14147,0.903,90.3
37159,"Rowan County, North Carolina",23508,0.905,90.5
37161,"Rutherford County, North Carolina",10021,0.879,87.9
37163,"Sampson County, North Carolina",11336,0.946,94.6
37165,"Scotland County, North Carolina",5754,0.948,94.8
37167,"Stanly County, North Carolina",9518,0.87,87
37169,"Stokes County, North Carolina",6609,0.969,96.9
37171,"Surry County, North Carolina",11196,0.886,88.6
37173,"Swain County, North Carolina",2470,0.952,95.2
37175,"Transylvania County, North Carolina",3986,0.936,93.6
37177,"Tyrrell County, North Carolina",446,0.937,93.7
37179,"Union County, North Carolina",50591,0.884,88.4
37181,"Vance County, North Carolina",8152,0.911,91.1
37183,"Wake County, North Carolina",190376,0.871,87.1
37185,"Warren County, North Carolina",2834,0.858,85.8
37187,"Washington County, North Carolina",2161,0.987,98.7
37189,"Watauga County, North Carolina",5398,0.886,88.6
37191,"Wayne County, North Carolina",21318,0.924,92.4
37193,"Wilkes County, North Carolina",10396,0.909,90.9
37195,"Wilson County, North Carolina",14444,0.892,89.2
37197,"Yadkin County, North Carolina",5582,0.906,90.6
37199,"Yancey County, North Carolina",2350,0.931,93.1
